locus_tag	ftype	length_bp	gene	EC_number	COG	product
DMAJDCCL_00001	CDS	966	alx_1		COG0861	Putative membrane-bound redox modulator Alx
DMAJDCCL_00002	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
DMAJDCCL_00003	CDS	684				hypothetical protein
DMAJDCCL_00004	CDS	504	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
DMAJDCCL_00005	CDS	1137	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
DMAJDCCL_00006	CDS	417	higA_1		COG5499	Antitoxin HigA
DMAJDCCL_00007	CDS	2019	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
DMAJDCCL_00008	CDS	2352	ygjK	3.2.1.-		Glucosidase YgjK
DMAJDCCL_00009	CDS	1071				hypothetical protein
DMAJDCCL_00010	CDS	1434	ygjI		COG0531	Inner membrane transporter YgjI
DMAJDCCL_00011	CDS	450	ebgC		COG2731	Evolved beta-galactosidase subunit beta
DMAJDCCL_00012	CDS	3093	ebgA	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
DMAJDCCL_00013	CDS	984	melR_1		COG1609	HTH-type transcriptional repressor MelR
DMAJDCCL_00014	CDS	333	ygjH		COG0073	tRNA-binding protein YgjH
DMAJDCCL_00015	CDS	1491	patA	2.6.1.82	COG4992	Putrescine aminotransferase
DMAJDCCL_00016	CDS	1521	aer		COG0840	Aerotaxis receptor
DMAJDCCL_00017	CDS	624	yqjI		COG1695	Transcriptional regulator YqjI
DMAJDCCL_00018	CDS	765	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
DMAJDCCL_00019	tRNA	76				tRNA-Met(cat)
DMAJDCCL_00020	CDS	507	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
DMAJDCCL_00021	CDS	1842	rpoD		COG0568	RNA polymerase sigma factor RpoD
DMAJDCCL_00022	CDS	1746	dnaG	2.7.7.-	COG0358	DNA primase
DMAJDCCL_00023	CDS	216	rpsU		COG0828	30S ribosomal protein S21
DMAJDCCL_00024	CDS	1014	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
DMAJDCCL_00025	CDS	1464	ttdT_1		COG0471	L-tartrate/succinate antiporter
DMAJDCCL_00026	CDS	606	ttdB	4.2.1.32	COG1838	L(+)-tartrate dehydratase subunit beta
DMAJDCCL_00027	CDS	912	ttdA	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
DMAJDCCL_00028	CDS	933	dmlR_1			HTH-type transcriptional regulator DmlR
DMAJDCCL_00029	CDS	618	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
DMAJDCCL_00030	CDS	369	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
DMAJDCCL_00031	CDS	822	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
DMAJDCCL_00032	CDS	1239	cca		COG0617	Multifunctional CCA protein
DMAJDCCL_00033	CDS	621				hypothetical protein
DMAJDCCL_00034	CDS	1302	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
DMAJDCCL_00035	CDS	2841	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
DMAJDCCL_00036	CDS	1434	hldE		COG2870	Bifunctional protein HldE
DMAJDCCL_00037	CDS	1662	yqiK		COG2268	Inner membrane protein YqiK
DMAJDCCL_00038	CDS	630	yqiJ			Inner membrane protein YqiJ
DMAJDCCL_00039	CDS	201	glgS			Surface composition regulator
DMAJDCCL_00040	CDS	1065				hypothetical protein
DMAJDCCL_00041	CDS	750	papD		COG3121	Chaperone protein PapD
DMAJDCCL_00042	CDS	2514	papC_1		COG3188	Outer membrane usher protein PapC
DMAJDCCL_00043	CDS	552	ybgD_1			putative fimbrial-like protein YbgD
DMAJDCCL_00044	CDS	291	ubiK		COG2960	Ubiquinone biosynthesis accessory factor UbiK
DMAJDCCL_00045	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
DMAJDCCL_00046	CDS	171	yqiD			Protein YqiD
DMAJDCCL_00047	CDS	774	zupT		COG0428	Zinc transporter ZupT
DMAJDCCL_00048	CDS	816	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
DMAJDCCL_00049	CDS	1161	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
DMAJDCCL_00050	CDS	672				hypothetical protein
DMAJDCCL_00051	CDS	1482	tolC		COG1538	Outer membrane protein TolC
DMAJDCCL_00052	CDS	630	nudF	3.6.1.13		ADP-ribose pyrophosphatase
DMAJDCCL_00053	CDS	423				hypothetical protein
DMAJDCCL_00054	CDS	828	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
DMAJDCCL_00055	CDS	582				hypothetical protein
DMAJDCCL_00056	CDS	1893	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
DMAJDCCL_00057	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
DMAJDCCL_00058	CDS	582	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
DMAJDCCL_00059	CDS	333	ygiZ			Inner membrane protein YgiZ
DMAJDCCL_00060	CDS	1350	qseC	2.7.13.3		Sensor protein QseC
DMAJDCCL_00061	CDS	660	qseB			Transcriptional regulatory protein QseB
DMAJDCCL_00062	CDS	393	ygiW_1		COG3111	Protein YgiW
DMAJDCCL_00063	CDS	483	sbmC_1			DNA gyrase inhibitor
DMAJDCCL_00064	CDS	90				hypothetical protein
DMAJDCCL_00065	CDS	2259	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
DMAJDCCL_00066	CDS	738	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
DMAJDCCL_00067	CDS	1413	ftsP		COG2132	Cell division protein FtsP
DMAJDCCL_00068	CDS	2220				hypothetical protein
DMAJDCCL_00069	CDS	258	lpp1			Major outer membrane lipoprotein Lpp 1
DMAJDCCL_00070	CDS	927				hypothetical protein
DMAJDCCL_00071	CDS	828	dkgA	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
DMAJDCCL_00072	CDS	1164	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
DMAJDCCL_00073	CDS	957	rhaS_1			HTH-type transcriptional activator RhaS
DMAJDCCL_00074	CDS	660	yghB		COG0586	Inner membrane protein YghB
DMAJDCCL_00075	CDS	1188	metC	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
DMAJDCCL_00076	CDS	735	exbB		COG0811	Biopolymer transport protein ExbB
DMAJDCCL_00077	CDS	426	exbD		COG0848	Biopolymer transport protein ExbD
DMAJDCCL_00078	CDS	885	yghA	1.-.-.-		putative oxidoreductase YghA
DMAJDCCL_00079	CDS	495				hypothetical protein
DMAJDCCL_00080	CDS	1041	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
DMAJDCCL_00081	CDS	888				hypothetical protein
DMAJDCCL_00082	CDS	288				hypothetical protein
DMAJDCCL_00083	CDS	1119	hybO	1.12.99.6	COG1740	Hydrogenase-2 small chain
DMAJDCCL_00084	CDS	987	fdnH_1		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
DMAJDCCL_00085	CDS	1179	hybB		COG5557	putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit
DMAJDCCL_00086	CDS	1704	hybC	1.12.99.6	COG0374	Hydrogenase-2 large chain
